CountryId,Prefix,NumberLength,Created,Updated
141,60,11,2021-03-18 18:23,2021-03-18 18:23
130,961,11,2021-03-18 18:23,2021-03-18 18:23
55,225,11,2021-03-18 18:23,2021-03-18 18:23
245,58,12,2021-03-18 18:23,2021-03-18 18:23
182,63,12,2021-03-18 18:24,2021-03-18 18:24
24,229,11,2021-03-18 18:24,2021-03-18 18:24
208,94,11,2021-03-18 18:24,2021-03-18 18:24
101,91,12,2021-03-18 18:24,2021-03-18 18:24
158,212,12,2021-03-18 18:24,2021-03-18 18:24
170,234,13,2021-03-18 18:26,2021-03-18 18:26
83,233,12,2021-03-18 18:26,2021-03-18 18:26
3,213,12,2021-03-18 18:26,2021-03-18 18:26
176,92,12,2021-03-18 18:27,2021-03-18 18:27
203,27,11,2021-03-18 18:27,2021-03-18 18:27
252,263,12,2021-03-18 18:27,2021-03-18 18:27
125,82,12,2021-03-18 18:31,2021-03-18 18:31
246,84,11,2021-03-18 18:37,2021-03-18 18:37
77,33,11,2021-03-18 18:39,2021-03-18 18:39
81,995,12,2021-03-18 18:40,2021-03-18 18:40
164,977,13,2021-03-18 18:42,2021-03-18 18:42
237,380,12,2021-03-18 18:43,2021-03-18 18:43
243,998,12,2021-03-18 18:44,2021-03-18 18:44
175,968,11,2021-03-18 18:46,2021-03-18 18:46
238,971,12,2021-03-18 18:47,2021-03-18 18:47
91,224,12,2021-03-18 18:51,2021-03-18 18:51
